,k,weight,acc,f1
822,1,5.5,0.88,0.9362
823,1,6.0,0.89,0.9418
824,1,6.5,0.85,0.9189
825,1,7.0,0.85,0.9189
826,1,7.5,0.88,0.9362
827,1,8.0,0.87,0.9305
828,1,8.5,0.88,0.9362
829,1,9.0,0.87,0.9305
830,1,9.5,0.88,0.9362
831,1,10.0,0.88,0.9362
832,1,10.5,0.87,0.9305
833,1,11.0,0.89,0.9418
834,1,11.5,0.87,0.9305
835,1,12.0,0.88,0.9362
836,1,12.5,0.87,0.9305
837,1,13.0,0.87,0.9305
838,1,13.5,0.88,0.9362
839,1,14.0,0.88,0.9362
840,1,14.5,0.88,0.9362
841,4,0.5,0.87,0.9305
842,4,1.0,0.88,0.9362
843,4,1.5,0.88,0.9362
844,4,2.0,0.86,0.9247
845,4,2.5,0.87,0.9305
846,4,3.0,0.87,0.9305
847,4,3.5,0.87,0.9305
848,4,4.0,0.87,0.9305
849,4,4.5,0.87,0.9305
850,4,5.0,0.89,0.9418
851,4,5.5,0.89,0.9418
852,4,6.0,0.88,0.9362
853,4,6.5,0.87,0.9305
854,4,7.0,0.88,0.9362
855,4,7.5,0.86,0.9247
856,4,8.0,0.88,0.9362
857,4,8.5,0.89,0.9418
858,4,9.0,0.88,0.9362
859,4,9.5,0.89,0.9418
860,4,10.0,0.86,0.9247
861,4,10.5,0.89,0.9418
862,4,11.0,0.88,0.9362
863,4,11.5,0.9,0.9474
864,4,12.0,0.9,0.9474
865,4,12.5,0.86,0.9247
866,4,13.0,0.89,0.9418
867,4,13.5,0.88,0.9362
868,4,14.0,0.87,0.9305
869,4,14.5,0.91,0.9529
870,7,0.5,0.89,0.9418
871,7,1.0,0.86,0.9247
872,7,1.5,0.88,0.9362
873,7,2.0,0.88,0.9362
874,7,2.5,0.85,0.9189
875,7,3.0,0.87,0.9305
876,7,3.5,0.87,0.9305
877,7,4.0,0.86,0.9247
878,7,4.5,0.87,0.9305
879,7,5.0,0.9,0.9474
880,7,5.5,0.88,0.9362
881,7,6.0,0.86,0.9247
882,7,6.5,0.87,0.9305
883,7,7.0,0.89,0.9418
884,7,7.5,0.89,0.9418
885,7,8.0,0.87,0.9305
886,7,8.5,0.88,0.9362
887,7,9.0,0.87,0.9305
888,7,9.5,0.87,0.9305
889,7,10.0,0.89,0.9418
890,7,10.5,0.87,0.9305
891,7,11.0,0.87,0.9305
892,7,11.5,0.89,0.9418
893,7,12.0,0.87,0.9305
894,7,12.5,0.89,0.9418
895,7,13.0,0.9,0.9474
896,7,13.5,0.87,0.9305
897,7,14.0,0.86,0.9247
898,7,14.5,0.88,0.9362
899,10,0.5,0.88,0.9362
900,10,1.0,0.86,0.9247
901,10,1.5,0.87,0.9305
902,10,2.0,0.88,0.9362
903,10,2.5,0.87,0.9305
904,10,3.0,0.87,0.9305
905,10,3.5,0.89,0.9418
906,10,4.0,0.89,0.9418
907,10,4.5,0.89,0.9418
908,10,5.0,0.87,0.9305
909,10,5.5,0.88,0.9362
910,10,6.0,0.89,0.9418
911,10,6.5,0.88,0.9362
912,10,7.0,0.86,0.9247
913,10,7.5,0.88,0.9362
914,10,8.0,0.87,0.9305
915,10,8.5,0.88,0.9362
916,10,9.0,0.87,0.9305
917,10,9.5,0.88,0.9362
918,10,10.0,0.86,0.9247
919,10,10.5,0.89,0.9418
920,10,11.0,0.89,0.9418
921,10,11.5,0.87,0.9305
922,10,12.0,0.88,0.9362
923,10,12.5,0.89,0.9418
924,10,13.0,0.87,0.9305
925,10,13.5,0.87,0.9305
926,10,14.0,0.87,0.9305
927,10,14.5,0.87,0.9305
928,13,0.5,0.89,0.9418
929,13,1.0,0.88,0.9362
930,13,1.5,0.86,0.9247
931,13,2.0,0.87,0.9305
932,13,2.5,0.88,0.9362
933,13,3.0,0.87,0.9305
934,13,3.5,0.88,0.9362
935,13,4.0,0.88,0.9362
936,13,4.5,0.86,0.9247
937,13,5.0,0.88,0.9362
938,13,5.5,0.87,0.9305
939,13,6.0,0.87,0.9305
940,13,6.5,0.9,0.9474
941,13,7.0,0.87,0.9305
942,13,7.5,0.89,0.9418
943,13,8.0,0.87,0.9305
944,13,8.5,0.88,0.9362
945,13,9.0,0.87,0.9305
946,13,9.5,0.87,0.9305
947,13,10.0,0.9,0.9474
948,13,10.5,0.88,0.9362
949,13,11.0,0.89,0.9418
950,13,11.5,0.88,0.9362
951,13,12.0,0.87,0.9305
952,13,12.5,0.86,0.9247
953,13,13.0,0.87,0.9305
954,13,13.5,0.9,0.9474
955,13,14.0,0.86,0.9247
956,13,14.5,0.9,0.9474
957,16,0.5,0.87,0.9305
958,16,1.0,0.86,0.9247
959,16,1.5,0.88,0.9362
960,16,2.0,0.88,0.9362
961,16,2.5,0.88,0.9362
962,16,3.0,0.86,0.9247
963,16,3.5,0.86,0.9247
964,16,4.0,0.89,0.9418
965,16,4.5,0.87,0.9305
966,16,5.0,0.88,0.9362
967,16,5.5,0.9,0.9474
968,16,6.0,0.88,0.9362
969,16,6.5,0.87,0.9305
970,16,7.0,0.89,0.9418
971,16,7.5,0.89,0.9418
972,16,8.0,0.89,0.9418
973,16,8.5,0.88,0.9362
974,16,9.0,0.88,0.9362
975,16,9.5,0.86,0.9247
976,16,10.0,0.86,0.9247
977,16,10.5,0.89,0.9418
978,16,11.0,0.89,0.9418
979,16,11.5,0.91,0.9529
980,16,12.0,0.88,0.9362
981,16,12.5,0.89,0.9418
982,16,13.0,0.85,0.9189
983,16,13.5,0.89,0.9418
984,16,14.0,0.87,0.9305
985,16,14.5,0.87,0.9305
986,19,0.5,0.89,0.9418
987,19,1.0,0.89,0.9418
988,19,1.5,0.88,0.9362
989,19,2.0,0.86,0.9247
990,19,2.5,0.87,0.9305
991,19,3.0,0.87,0.9305
992,19,3.5,0.89,0.9418
993,19,4.0,0.88,0.9362
994,19,4.5,0.86,0.9247
995,19,5.0,0.87,0.9305
996,19,5.5,0.88,0.9362
997,19,6.0,0.89,0.9418
998,19,6.5,0.89,0.9418
999,19,7.0,0.87,0.9305
1000,19,7.5,0.88,0.9362
1001,19,8.0,0.88,0.9362
1002,19,8.5,0.88,0.9362
1003,19,9.0,0.89,0.9418
1004,19,9.5,0.88,0.9362
1005,19,10.0,0.88,0.9362
1006,19,10.5,0.88,0.9362
1007,19,11.0,0.91,0.9529
1008,19,11.5,0.87,0.9305
1009,19,12.0,0.9,0.9474
1010,19,12.5,0.89,0.9418
1011,19,13.0,0.88,0.9362
1012,19,13.5,0.88,0.9362
1013,19,14.0,0.85,0.9189
1014,19,14.5,0.88,0.9362
