epoch,acc_AE,f1_AE,acc_GAE1,f1_GAE1,acc_GAE2,f1_GAE2,acc_GAE3,f1_GAE3,acc_GAE4,f1_GAE4
7,0.87,0.9305,0.83,0.9071,0.82,0.9011,0.82,0.9011,0.87,0.9305
10,0.87,0.9305,0.86,0.9247,0.8,0.8889,0.8,0.8889,0.84,0.913
13,0.84,0.913,0.86,0.9247,0.81,0.895,0.81,0.895,0.88,0.9362
16,0.89,0.9418,0.86,0.9247,0.83,0.9071,0.83,0.9071,0.85,0.9189
19,0.86,0.9247,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.84,0.913
22,0.84,0.913,0.87,0.9305,0.8,0.8889,0.8,0.8889,0.87,0.9305
25,0.85,0.9189,0.85,0.9189,0.82,0.9011,0.82,0.9011,0.88,0.9362
28,0.89,0.9418,0.86,0.9247,0.81,0.895,0.81,0.895,0.88,0.9362
31,0.83,0.9071,0.85,0.9189,0.83,0.9071,0.83,0.9071,0.85,0.9189
34,0.87,0.9305,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.86,0.9247
37,0.83,0.9071,0.88,0.9362,0.81,0.895,0.81,0.895,0.86,0.9247
