num_neg,acc_AE,f1_AE,acc_GAE1,f1_GAE1,acc_GAE2,f1_GAE2,acc_GAE3,f1_GAE3,acc_GAE4,f1_GAE4
245,0.7673,0.8684,0.7796,0.8761,0.8449,0.9159,0.8449,0.9159,0.7714,0.871
246,0.7683,0.869,0.7805,0.8767,0.8455,0.9163,0.8455,0.9163,0.7683,0.869
247,0.7652,0.867,0.7814,0.8773,0.8462,0.9167,0.8462,0.9167,0.7692,0.8696
248,0.7661,0.8676,0.7823,0.8778,0.8468,0.917,0.8468,0.917,0.7702,0.8702
249,0.7671,0.8682,0.7791,0.8758,0.8474,0.9174,0.8474,0.9174,0.7711,0.8707
1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3,1.0,1.0,1.0,1.0,0.3333,0.5,0.3333,0.5,1.0,1.0
4,1.0,1.0,1.0,1.0,0.5,0.6667,0.5,0.6667,1.0,1.0
5,1.0,1.0,1.0,1.0,0.6,0.75,0.6,0.75,1.0,1.0
6,1.0,1.0,1.0,1.0,0.6667,0.8,0.6667,0.8,1.0,1.0
7,0.8571,0.9231,1.0,1.0,0.7143,0.8333,0.7143,0.8333,1.0,1.0
8,0.875,0.9333,1.0,1.0,0.625,0.7692,0.625,0.7692,1.0,1.0
9,0.8889,0.9412,1.0,1.0,0.6667,0.8,0.6667,0.8,1.0,1.0
10,0.9,0.9474,1.0,1.0,0.7,0.8235,0.7,0.8235,1.0,1.0
11,0.9091,0.9524,0.9091,0.9524,0.7273,0.8421,0.7273,0.8421,1.0,1.0
12,0.8333,0.9091,0.9167,0.9565,0.6667,0.8,0.6667,0.8,0.9167,0.9565
13,0.8462,0.9167,0.9231,0.96,0.6154,0.7619,0.6154,0.7619,0.9231,0.96
14,0.8571,0.9231,0.9286,0.963,0.6429,0.7826,0.6429,0.7826,0.9286,0.963
15,0.8667,0.9286,0.8667,0.9286,0.6667,0.8,0.6667,0.8,0.8667,0.9286
16,0.875,0.9333,0.875,0.9333,0.6875,0.8148,0.6875,0.8148,0.875,0.9333
17,0.8824,0.9375,0.8824,0.9375,0.7059,0.8276,0.7059,0.8276,0.8824,0.9375
18,0.8889,0.9412,0.8889,0.9412,0.7222,0.8387,0.7222,0.8387,0.8889,0.9412
19,0.8947,0.9444,0.8947,0.9444,0.7368,0.8485,0.7368,0.8485,0.8947,0.9444
20,0.9,0.9474,0.9,0.9474,0.75,0.8571,0.75,0.8571,0.9,0.9474
21,0.9048,0.95,0.9048,0.95,0.7619,0.8649,0.7619,0.8649,0.9048,0.95
22,0.9091,0.9524,0.9091,0.9524,0.7727,0.8718,0.7727,0.8718,0.8636,0.9268
23,0.913,0.9545,0.913,0.9545,0.7826,0.878,0.7826,0.878,0.8696,0.9302
24,0.9167,0.9565,0.9167,0.9565,0.75,0.8571,0.75,0.8571,0.875,0.9333
25,0.92,0.9583,0.92,0.9583,0.76,0.8636,0.76,0.8636,0.88,0.9362
26,0.9231,0.96,0.8846,0.9388,0.7692,0.8696,0.7692,0.8696,0.8846,0.9388
27,0.9259,0.9615,0.8889,0.9412,0.7778,0.875,0.7778,0.875,0.8889,0.9412
28,0.9286,0.963,0.8571,0.9231,0.7857,0.88,0.7857,0.88,0.8929,0.9434
